data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
25/04/2026;06:20:00;ITAITUBA;Afundamento ou ondulação no pavimento;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Crescente;Nevoeiro/Neblina;Simples;Reta;-4,51459;-55,866111
25/04/2026;08:55:00;JUNQUEIRO;Demais falhas na via;Tombamento;Sem Vítimas;Pleno dia;Decrescente;Garoa/Chuvisco;Dupla;Curva;-9,893597;-36,404832
25/04/2026;15:34:00;BARRA DO TURVO;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Curva;Aclive";-25,055805;-48,5503943
25/04/2026;14:35:00;MURIAE;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Curva;-21,211981;-42,389138
25/04/2026;10:05:00;VITORIA DO MEARIM;Pista esburacada;Colisão lateral sentido oposto;Sem Vítimas;Pleno dia;Decrescente;Chuva;Simples;Curva;-3,448425;-44,836477
25/04/2026;13:30:00;DOURADOS;Pista esburacada;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-22,2569466;-54,85962264
25/04/2026;16:10:00;TIBAGI;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Ponte;Declive;Curva";-24,94773916;-50,39496784
25/04/2026;22:10:00;SABARA;Iluminação deficiente;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;"Aclive;Reta";-19,833952;-43,848386
25/04/2026;18:30:00;VITORIA DO XINGU;Curva acentuada;Tombamento;Com Vítimas Fatais;Anoitecer;Decrescente;Céu Claro;Simples;"Curva;Declive";-3,0947941;-51,85192734
25/04/2026;19:45:00;TIANGUA;Pista Escorregadia;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;"Declive;Curva";-3,64888548;-40,9298199
25/04/2026;16:50:00;JAGUARARI;Animais na Pista;Atropelamento de Animal;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-10,00044925;-40,23634851
25/04/2026;04:20:00;GUAPO;Ausência de sinalização;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Aclive;Reta";-16,946557;-49,67368
25/04/2026;00:20:00;GILBUES;Animais na Pista;Atropelamento de Animal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-9,80977;-45,328646
25/04/2026;05:24:00;ALTOS;Chuva;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Curva;-5,04496061;-42,55557871
25/04/2026;05:00:00;LARANJEIRAS;Velocidade Incompatível;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Ponte;-10,8457678;-37,20997258
25/04/2026;08:10:00;BANDEIRANTES;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-23,11398634;-50,37267292
25/04/2026;09:00:00;ITAJAI;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Curva;Interseção de Vias";-26,93911015;-48,69752739
25/04/2026;02:00:00;PETROLINA;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Rotatória;Interseção de Vias";-9,38729918;-40,52524614
25/04/2026;14:00:00;MARABA;Pista Escorregadia;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;"Aclive;Reta";-5,36578;-49,07821
25/04/2026;16:00:00;CURITIBA;Acostamento em desnível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;"Aclive;Reta";-25,43268;-49,36947
25/04/2026;17:40:00;JOAO PESSOA;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-7,1635;-34,861
25/04/2026;17:00:00;CAMPINA GRANDE DO SUL;Velocidade Incompatível;Capotamento;Sem Vítimas;Anoitecer;Decrescente;Céu Claro;Dupla;Reta;-25,23704697;-48,90725317
25/04/2026;18:50:00;FORMOSA;Ausência de sinalização;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Retorno Regulamentado;Reta";-15,4972301;-47,1098452
25/04/2026;17:55:00;FOZ DO IGUACU;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;-25,50583577;-54,54350446
25/04/2026;19:20:00;UBERLANDIA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Aclive;Viaduto";-18,85930184;-48,25408682
